ProjectId,ProjectName,ProjectStatus,StartDate,DueDate,ProjectOwner,ProjectOwnerId,ProjectOwnerEmail,CustomerName,CustomerId,Progress,Project Type,CompletedTasks,OverdueTasks,BlockedTasks,AtRiskTasks,ApprovalPending,BRD Sign-off,UAT Sign-off,% BM Billed,% BM Created,Billing Status,ProjectTrackedHours,PercentageBudgetConsumed,ActualStartDate,ActualCompletedDate,Kick-off Date,Final Go Live Date,First Go-Live Date,PlannedDuration,ProjectBudget,EstimateAtCompletion,EstimateToComplete,ProjectRevenue,ProjectCost,ProjectProfit,Invoiced Amount,TeamMembers,Region
PRJ-001,James-Greene - CLM Implementation,In progress,2025-02-17,2025-04-11,Joshua Perry,12495,joshua.perry@example.com,James-Greene,88297,2.80,Change Request ,3,103,0,0,0,,,100.0,56.0,Not Started,98.00,100.0,2025-02-21,,2025-02-17,,,53,17500.000000,98.0,0.0,17500.0,1274.0,16226.0,,"Susan Serrano|susan.serrano@example.com, Anthony Harmon|anthony.harmon@example.com",APAC
PRJ-002,Wright Inc - Phase 1 Implementation,In progress,2025-09-30,2026-05-31,Olivia Harris,77335,olivia.harris@example.com,Wright Inc,70674,82.24,CLM Platform,88,64,1,0,0,,,50.0,150.0,Not Started,558.00,100.0,2025-10-08,,,,,243,65000.000000,558.0,0.0,65000.0,15519.5,49480.5,,"Julie Alexander|julie.alexander@example.com, Shelly Alexander|shelly.alexander@example.com, Crystal Johnson|crystal.johnson@example.com, Matthew Foster|matthew.foster@example.com, Jessica Garcia|jessica.garcia@example.com, Ashley Hall|ashley.hall@example.com, Sierra Johnson|sierra.johnson@example.com, Kimberly Nguyen|kimberly.nguyen@example.com",AMER
PRJ-003,Daniel-Schmidt - Phase 2 Rollout,In progress,2022-05-25,2028-02-29,Justin Torres,30743,justin.torres@example.com,Daniel-Schmidt,84231,91.86,CLM Platform,158,22,6,0,0,,2023-07-26,0.0,56.0,Created,24354.67,84.12703888888889,2023-07-27,,2022-05-25,2025-12-26,2023-07-26,2106,540000.000000,28949.8667,4595.2,454286.01,715695.49,-261409.48,,"Diana May|diana.may@example.com, Heather Fields|heather.fields@example.com, Jamie Walton|jamie.walton@example.com, Debra Morton|debra.morton@example.com, Mark Brown|mark.brown@example.com, Pamela Boyd|pamela.boyd@example.com, Barbara Dudley|barbara.dudley@example.com, Melissa Gates|melissa.gates@example.com, Charles Shah|charles.shah@example.com, Lindsey Walker|lindsey.walker@example.com, Larry Dixon|larry.dixon@example.com, Desiree Tyler|desiree.tyler@example.com, Nicole Herring|nicole.herring@example.com, Amy Silva|amy.silva@example.com, Mrs. Kristen Reyes|mrs..kristen.reyes@example.com, Matthew Harrington|matthew.harrington@example.com, Wayne Morgan|wayne.morgan@example.com, Danny Morgan|danny.morgan@example.com, Richard Smith|richard.smith@example.com, Steve Sanchez|steve.sanchez@example.com, Matthew Moore|matthew.moore@example.com, Jeffrey Chavez|jeffrey.chavez@example.com, Sarah Moore|sarah.moore@example.com, Jason Stein|jason.stein@example.com, Carolyn Miller|carolyn.miller@example.com, Jeremy Reed|jeremy.reed@example.com, Jeffrey Chavez|jeffrey.chavez@example.com, Joel Williams|joel.williams@example.com, Paul Jones|paul.jones@example.com, Shannon Rivera|shannon.rivera@example.com, Sandra Aguilar|sandra.aguilar@example.com, David Davis|david.davis@example.com, Joseph Coleman|joseph.coleman@example.com, Deborah Figueroa|deborah.figueroa@example.com, Debra Morton|debra.morton@example.com, Melissa Gates|melissa.gates@example.com, Connor West|connor.west@example.com, Michelle Evans|michelle.evans@example.com, Johnathan Davis|johnathan.davis@example.com, Theresa Clark|theresa.clark@example.com, Joshua Cooke|joshua.cooke@example.com, Kathy Rivas|kathy.rivas@example.com, Jessica Garcia|jessica.garcia@example.com, Debra Morton|debra.morton@example.com, Jessica Smith|jessica.smith@example.com, Anna Henderson|anna.henderson@example.com",AMER
PRJ-004,"Ryan, Mays and Burns - Platform Deployment",In progress,2025-12-01,2026-08-31,William Baker,20642,william.baker@example.com,"Ryan, Mays and Burns",38459,2.70,CLM Platform,3,101,0,0,0,,,68.23826154443151,204.2382615444315,Not Started,2420.00,48.91260380287156,2025-12-02,,2025-12-01,,,273,257700.000000,4947.6,2527.6,126047.78,65419.55,60628.23,,"Rocketlane|rocketlane@example.com, Michelle Harmon|michelle.harmon@example.com, Gerald Hensley|gerald.hensley@example.com, Jessica Holmes|jessica.holmes@example.com, Michael Farrell|michael.farrell@example.com, Nathan Maldonado|nathan.maldonado@example.com, Cheyenne Horton|cheyenne.horton@example.com, Jamie Arnold|jamie.arnold@example.com, Dustin Jordan|dustin.jordan@example.com",Europe
PRJ-005,Bowen-Chapman - Enterprise Rollout,In progress,2025-04-21,2026-04-03,Jordan Henderson,92226,jordan.henderson@example.com,Bowen-Chapman,27374,75.45,CLM Platform,83,53,1,0,0,,,,,,6973.67,0.0,2025-05-19,,,,,347,373163.000000,6973.6667,0.0,0.0,93791.92,-93791.92,,"Elizabeth Oliver DDS|elizabeth.oliver.dds@example.com, Daniel Salinas|daniel.salinas@example.com, Christian Leblanc|christian.leblanc@example.com, Jeremy Reed|jeremy.reed@example.com, Aaron Wise|aaron.wise@example.com, Bryan Herrera|bryan.herrera@example.com, Cynthia Rowe|cynthia.rowe@example.com, Rebecca Valencia|rebecca.valencia@example.com, Daniel Wagner|daniel.wagner@example.com, Elizabeth Fowler|elizabeth.fowler@example.com, Julia Torres|julia.torres@example.com, Nichole Alvarez|nichole.alvarez@example.com, Keith Jennings|keith.jennings@example.com, Aaron Wise|aaron.wise@example.com, Michael Warner|michael.warner@example.com, John Whitehead|john.whitehead@example.com, Devon Flores|devon.flores@example.com, Lawrence Adkins|lawrence.adkins@example.com, Shannon Walker|shannon.walker@example.com, Tanner Mitchell DDS|tanner.mitchell.dds@example.com, Denise Davenport|denise.davenport@example.com, Nicole Herring|nicole.herring@example.com",Europe
PRJ-006,Short-Hensley - CLM Platform - Phase 1,In progress,2026-02-23,2026-12-30,Kristen Davis,18029,kristen.davis@example.com,Short-Hensley,73660,24.30,CLM Platform,26,3,0,0,0,,,,75.0,Not Started,362.00,0.0,2026-03-13,,2026-02-23,,,310,0.000000,3202.0,2840.0,0.0,11178.0,-11178.0,,"David Douglas Jr.|david.douglas.jr.@example.com, Kathy Rivas|kathy.rivas@example.com, Crystal Johnson|crystal.johnson@example.com, Matthew Moore|matthew.moore@example.com, Cynthia Morris|cynthia.morris@example.com, Ashley Hall|ashley.hall@example.com",AMER
PRJ-007,Hernandez Ltd - Contract Management Implementation,In progress,2025-12-01,2026-07-31,Daniel Baker,12427,daniel.baker@example.com,Hernandez Ltd,53472,40.54,CLM Platform,45,32,0,0,0,,,25.0,75.0,Not Started,2459.25,37.36752,2025-12-08,,,,,242,325000.000000,6899.25,4440.0,121444.44,72939.25,48505.19,,"Jeffrey Chavez|jeffrey.chavez@example.com, Stephanie Manning|stephanie.manning@example.com, Jose Schultz|jose.schultz@example.com, Tina Sanders|tina.sanders@example.com, Patricia Le|patricia.le@example.com, Ryan Gonzalez|ryan.gonzalez@example.com, Jeremy Dalton|jeremy.dalton@example.com, Shannon Rivera|shannon.rivera@example.com, Megan Young|megan.young@example.com, Laura Haney|laura.haney@example.com, Deborah Figueroa|deborah.figueroa@example.com, James Ferrell|james.ferrell@example.com, Stephanie Ross|stephanie.ross@example.com, Sara Fuller|sara.fuller@example.com",AMER
PRJ-008,Horn LLC - CLM Migration,In progress,2026-01-05,2026-09-30,Tommy Walter,19472,tommy.walter@example.com,Horn LLC,60118,46.36,CLM Platform,191,82,20,0,0,,,30.0,105.0,Not Started,2179.50,23.082301003344483,2026-01-05,,2026-01-05,,,268,299000.000000,9442.3,7262.8,69016.08,74625.0,-5608.92,,"Evelyn Galvan|evelyn.galvan@example.com, Stephanie Manning|stephanie.manning@example.com, Elizabeth Kelley|elizabeth.kelley@example.com, Bailey Duran DDS|bailey.duran.dds@example.com, Daniel Salinas|daniel.salinas@example.com, Sarah Moore|sarah.moore@example.com, Angelica Keith|angelica.keith@example.com, Kenneth Scott|kenneth.scott@example.com, Lawrence Adkins|lawrence.adkins@example.com, Anthony Rodriguez|anthony.rodriguez@example.com, Aimee Montoya|aimee.montoya@example.com, Marie Christian|marie.christian@example.com",Europe
PRJ-009,Arroyo PLC - Platform Upgrade,In progress,2025-04-07,2026-06-22,Tracy House,1533,tracy.house@example.com,Arroyo PLC,87283,10.68,CLM Platform,52,263,0,0,0,,,35.0,56.0,Not Started,18974.28,0.0,2025-04-22,,2025-04-07,,,441,406109.000000,22544.2833,3570.0,0.0,552476.8,-552476.8,,"Christopher Parker|christopher.parker@example.com, Megan Orr|megan.orr@example.com, Christopher Smith|christopher.smith@example.com, Brandy Chavez|brandy.chavez@example.com, Kevin Walters|kevin.walters@example.com, Daniel Kane|daniel.kane@example.com, Jordan Chambers|jordan.chambers@example.com, Allison Hill|allison.hill@example.com, James Brown|james.brown@example.com, James Brown|james.brown@example.com, Alex Hernandez|alex.hernandez@example.com, Abigail Shaffer|abigail.shaffer@example.com, Jonathan Lawrence|jonathan.lawrence@example.com, Jeremy Sampson|jeremy.sampson@example.com, Daniel Kennedy|daniel.kennedy@example.com, Elizabeth Kelley|elizabeth.kelley@example.com, Brett Burns|brett.burns@example.com, Kelly Donovan|kelly.donovan@example.com, Tina Sanders|tina.sanders@example.com, Evelyn Galvan|evelyn.galvan@example.com, Gabrielle Davis|gabrielle.davis@example.com, Shannon Rivera|shannon.rivera@example.com, Susan Turner|susan.turner@example.com, Brent Jordan|brent.jordan@example.com, Matthew Mcmillan|matthew.mcmillan@example.com, Richard Henson|richard.henson@example.com, Richard Rodriguez|richard.rodriguez@example.com, Robert Potter|robert.potter@example.com, Alyssa Long|alyssa.long@example.com, Stephen Hoffman|stephen.hoffman@example.com, Patty Perez|patty.perez@example.com, Lori Guerrero|lori.guerrero@example.com, Danny Morgan|danny.morgan@example.com, Allison Smith|allison.smith@example.com, John Anderson|john.anderson@example.com, Scott Thomas|scott.thomas@example.com, Lisa Barnes|lisa.barnes@example.com, William Barrett|william.barrett@example.com, Ryan Munoz|ryan.munoz@example.com, Jonathan Peterson|jonathan.peterson@example.com, Carlos Ryan|carlos.ryan@example.com, Cassandra Gaines|cassandra.gaines@example.com",APAC
PRJ-010,"Schroeder, Harrison and Powell - Multi-Phase Implementation",In progress,2025-09-01,2026-04-30,Jennifer Adkins,51973,jennifer.adkins@example.com,"Schroeder, Harrison and Powell",15213,59.17,CLM Platform,71,23,0,0,0,,,30.0,56.0,Not Started,4685.35,0.0,2025-08-28,,2025-09-01,2026-04-02,2026-04-02,241,200000.000000,7630.15,2944.8,0.0,126411.59,-126411.59,,"Gina Moore|gina.moore@example.com, Colin Terry|colin.terry@example.com, Daniel Kane|daniel.kane@example.com, Andrea Hubbard|andrea.hubbard@example.com, Charles Lester|charles.lester@example.com, William Herrera|william.herrera@example.com, Ariana Jennings|ariana.jennings@example.com, Andrew Reynolds|andrew.reynolds@example.com, Richard Henson|richard.henson@example.com, Bryan Herrera|bryan.herrera@example.com, Kathryn Snyder|kathryn.snyder@example.com, Anthony Humphrey|anthony.humphrey@example.com, Paula Moreno|paula.moreno@example.com, Christine Wright|christine.wright@example.com, Donald Wright|donald.wright@example.com",APAC
PRJ-011,Grant-Coleman - Change Request,In progress,2025-12-01,2026-09-30,Victor Baker,58645,victor.baker@example.com,Grant-Coleman,28654,72.22,CLM Platform,78,30,0,0,0,,,50.0,100.0,Not Started,2424.50,39.52623711340206,2025-11-25,,2025-12-01,,,303,485000.000000,6133.9,3709.4,191702.25,58055.28,133646.97,,"Holly Wood|holly.wood@example.com, Isaiah Avila|isaiah.avila@example.com, Rocketlane|rocketlane@example.com, Kathleen Moran|kathleen.moran@example.com, Sherry Decker|sherry.decker@example.com, Jeffrey Johnson|jeffrey.johnson@example.com, Kevin Walters|kevin.walters@example.com, Matthew Moon|matthew.moon@example.com, Rebecca Jackson|rebecca.jackson@example.com, Patrick Thornton|patrick.thornton@example.com, Justin Baker|justin.baker@example.com, Tanner Mitchell DDS|tanner.mitchell.dds@example.com",AMER
PRJ-012,Mayo-Ferguson - CLM Expansion,In progress,2025-01-07,2026-04-30,Briana Murray,86537,briana.murray@example.com,Mayo-Ferguson,30586,86.64,CLM Platform,266,32,0,0,0,,,75.0,56.0,,8736.90,89.49082929977412,2025-01-08,,2025-01-07,,,478,619800.000000,9762.9,1026.0,554664.16,261421.78,293242.38,,"Matthew Moore|matthew.moore@example.com, Gina Moore|gina.moore@example.com, Yvonne Chambers|yvonne.chambers@example.com, Mary Marshall|mary.marshall@example.com, Shannon James|shannon.james@example.com, Ryan Gonzalez|ryan.gonzalez@example.com, Julie Alexander|julie.alexander@example.com, Alexander Collins|alexander.collins@example.com, Jose Travis|jose.travis@example.com, Margaret Hawkins DDS|margaret.hawkins.dds@example.com, Richard Henson|richard.henson@example.com, Zachary Ferrell|zachary.ferrell@example.com, Aaron Wise|aaron.wise@example.com, Michael Bradshaw|michael.bradshaw@example.com, William Herrera|william.herrera@example.com, Sara Johnston|sara.johnston@example.com, Natalie Bautista|natalie.bautista@example.com, Brenda Hall|brenda.hall@example.com, Carla Gray|carla.gray@example.com, Katie Suarez|katie.suarez@example.com, Shane Henderson|shane.henderson@example.com, Jasmin Alvarado|jasmin.alvarado@example.com",Europe
PRJ-013,Stone-Gonzalez - CLM Implementation,In progress,2025-11-03,2026-12-31,Robert Oconnell,49967,robert.oconnell@example.com,Stone-Gonzalez,51429,17.65,CLM Platform,18,25,0,0,0,,,,,,4383.50,0.0,2025-11-11,,,,,423,,6186.7,1803.2,0.0,84529.56,-84529.56,,"Monica Herrera|monica.herrera@example.com, David Douglas Jr.|david.douglas.jr.@example.com, Debra Morton|debra.morton@example.com, Megan Le|megan.le@example.com, Victoria Garcia|victoria.garcia@example.com, Michael Wang|michael.wang@example.com, David Douglas Jr.|david.douglas.jr.@example.com, Jessica Garcia|jessica.garcia@example.com, Margaret Hawkins DDS|margaret.hawkins.dds@example.com, Ana Hill|ana.hill@example.com, Michael Evans|michael.evans@example.com, Brandon Bailey MD|brandon.bailey.md@example.com, Jesse Perez|jesse.perez@example.com",AMER
