ProjectId,TaskId,TaskName,Status,ProjectName,PhaseId,Phase,Assignee,Priority,StartDate,DueDate,HoursTracked,Is this a Billing Milestone?,Invoice Raised?,% of amount to be billed,Dependency,ParentTaskId,ParentTask,AtRisk,Progress,ActualStartDate,CompletedAt,RemainingHours,Effort(hrs),Billable,Category
PRJ-100,TSK-1000,Go-Live,To do,Deepwater Systems - CLM Implementation,PHS-D3,Launch,Priya Raman,,2026-07-01,2026-07-15,2.00,true,,,Step 01,,,,,,,0.00,,true,
PRJ-100,TSK-1001,Step 01,To do,Deepwater Systems - CLM Implementation,PHS-D1,Build,,,2026-07-01,2026-07-15,1.00,,,,Step 02,,,,,,,0.00,,true,
PRJ-100,TSK-1002,Step 02,To do,Deepwater Systems - CLM Implementation,PHS-D1,Build,,,2026-07-01,2026-07-15,1.00,,,,Step 03,,,,,,,0.00,,true,
PRJ-100,TSK-1003,Step 03,To do,Deepwater Systems - CLM Implementation,PHS-D1,Build,,,2026-07-01,2026-07-15,1.00,,,,Step 04,,,,,,,0.00,,true,
PRJ-100,TSK-1004,Step 04,To do,Deepwater Systems - CLM Implementation,PHS-D1,Build,,,2026-07-01,2026-07-15,1.00,,,,Step 05,,,,,,,0.00,,true,
PRJ-100,TSK-1005,Step 05,To do,Deepwater Systems - CLM Implementation,PHS-D1,Build,,,2026-07-01,2026-07-15,1.00,,,,Step 06,,,,,,,0.00,,true,
PRJ-100,TSK-1006,Step 06,To do,Deepwater Systems - CLM Implementation,PHS-D1,Build,,,2026-07-01,2026-07-15,1.00,,,,Step 07,,,,,,,0.00,,true,
PRJ-100,TSK-1007,Step 07,To do,Deepwater Systems - CLM Implementation,PHS-D1,Build,,,2026-07-01,2026-07-15,1.00,,,,Step 08,,,,,,,0.00,,true,
PRJ-100,TSK-1008,Step 08,To do,Deepwater Systems - CLM Implementation,PHS-D1,Build,,,2026-07-01,2026-07-15,1.00,,,,Step 09,,,,,,,0.00,,true,
PRJ-100,TSK-1009,Step 09,To do,Deepwater Systems - CLM Implementation,PHS-D2,Test,,,2026-07-01,2026-07-15,1.00,,,,Step 10,,,,,,,0.00,,true,
PRJ-100,TSK-1010,Step 10,To do,Deepwater Systems - CLM Implementation,PHS-D2,Test,,,2026-07-01,2026-07-15,1.00,,,,Step 11,,,,,,,0.00,,true,
PRJ-100,TSK-1011,Step 11,To do,Deepwater Systems - CLM Implementation,PHS-D2,Test,,,2026-07-01,2026-07-15,1.00,,,,Step 12,,,,,,,0.00,,true,
PRJ-100,TSK-1012,Step 12,To do,Deepwater Systems - CLM Implementation,PHS-D2,Test,,,2026-07-01,2026-07-15,1.00,,,,Step 13,,,,,,,0.00,,true,
PRJ-100,TSK-1013,Step 13,To do,Deepwater Systems - CLM Implementation,PHS-D2,Test,,,2026-07-01,2026-07-15,1.00,,,,Step 14,,,,,,,0.00,,true,
PRJ-100,TSK-1014,Step 14,To do,Deepwater Systems - CLM Implementation,PHS-D2,Test,,,2026-07-01,2026-07-15,1.00,,,,Step 15,,,,,,,0.00,,true,
PRJ-100,TSK-1015,Step 15,To do,Deepwater Systems - CLM Implementation,PHS-D2,Test,,,2026-07-01,2026-07-15,0.00,,,,,,,,,,,0.00,,true,
PRJ-100,TSK-1099,Kickoff,Completed,Deepwater Systems - CLM Implementation,PHS-D0,Initiate,,,2026-07-01,2026-07-15,4.00,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
