ProjectId,ProjectName,ProjectStatus,StartDate,DueDate,ProjectOwner,ProjectOwnerId,ProjectOwnerEmail,CustomerName,CustomerId,Progress,Project Type,CompletedTasks,OverdueTasks,BlockedTasks,AtRiskTasks,ApprovalPending,BRD Sign-off,UAT Sign-off,% BM Billed,% BM Created,Billing Status,ProjectTrackedHours,PercentageBudgetConsumed,ActualStartDate,ActualCompletedDate,Kick-off Date,Final Go Live Date,First Go-Live Date,PlannedDuration,ProjectBudget,EstimateAtCompletion,EstimateToComplete,ProjectRevenue,ProjectCost,ProjectProfit,Invoiced Amount,TeamMembers,Region
PRJ-0001,Northwind LLC - CLM Implementation,In progress,2026-07-19,2027-05-02,Lena Okafor,ACT-1005,lena.okafor.5@example.com,Northwind LLC,50000,76,CLM Platform,,,,,,,,,,,,,,,,,,,,,,,,,,"Tomas Sato|tomas.sato.134@example.org, Priya Sato|priya.sato.128@example.org, Amara Diallo|amara.diallo.103@example.org, Mei Kaya|mei.kaya.130@example.org, Kwame Rossi|kwame.rossi.124@example.org",Europe
PRJ-0002,Acme Ltd - Enterprise Rollout,In progress,2026-05-08,2027-04-16,Ingrid Raman,ACT-1011,ingrid.raman.11@example.com,Acme Ltd,50001,85,Migration,,,,,,,,,,,,,,,,,,,,,,,,,,"Mei Sato|mei.sato.114@example.org, Daniel Kaya|daniel.kaya.129@example.org, Zara Novak|zara.novak.111@example.org, Lena Kaya|lena.kaya.101@example.org",APAC
PRJ-0003,Contoso GmbH - Phase 2 Rollout,In progress,2026-01-25,2027-02-06,Ingrid Raman,ACT-1011,ingrid.raman.11@example.com,Contoso GmbH,50002,61,Change Request ,,,,,,,,,,,,,,,,,,,,,,,,,,"Zara Kaya|zara.kaya.127@example.org, Mei Kaya|mei.kaya.130@example.org",AMER
PRJ-0004,Initech LLC - Migration,In progress,2026-03-30,2026-12-29,Sofia Tanaka,ACT-1003,sofia.tanaka.3@example.com,Initech LLC,50003,6,CLM Platform,,,,,,,,,,,,,,,,,,,,,,,,,,"Marco Diallo|marco.diallo.106@example.org, Amara Diallo|amara.diallo.103@example.org",AMER
PRJ-0005,Globex GmbH - Phase 2 Rollout,In progress,2026-03-19,2027-02-05,Sofia Tanaka,ACT-1003,sofia.tanaka.3@example.com,Globex GmbH,50004,96,Migration,,,,,,,,,,,,,,,,,,,,,,,,,,Zara Novak|zara.novak.111@example.org,APAC
PRJ-0006,Vandelay GmbH - Phase 1 Implementation,In progress,2026-07-22,2027-03-09,Ingrid Raman,ACT-1011,ingrid.raman.11@example.com,Vandelay GmbH,50005,82,Change Request ,,,,,,,,,,,,,,,,,,,,,,,,,,Tomas Sato|tomas.sato.134@example.org,MEA
PRJ-0007,Hooli Ltd - Integration Program,In progress,2026-03-12,2027-03-21,Marco Okafor,ACT-1010,marco.okafor.10@example.com,Hooli Ltd,50006,2,CLM Platform,,,,,,,,,,,,,,,,,,,,,,,,,,"Noah Novak|noah.novak.110@example.org, Tomas Sato|tomas.sato.118@example.org, Lena Kaya|lena.kaya.101@example.org, Yusuf Sato|yusuf.sato.120@example.org",AMER
PRJ-0008,Wayne Inc - Enterprise Rollout,In progress,2026-03-29,2027-01-26,Arjun Tanaka,ACT-1004,arjun.tanaka.4@example.com,Wayne Inc,50007,52,Change Request ,,,,,,,,,,,,,,,,,,,,,,,,,,"Hana Rossi|hana.rossi.121@example.org, Arjun Diallo|arjun.diallo.116@example.org, Zara Novak|zara.novak.111@example.org, Amara Diallo|amara.diallo.103@example.org, Kwame Novak|kwame.novak.108@example.org",MEA
PRJ-0009,Hooli Ltd - CLM Implementation,In progress,2026-05-10,2026-12-28,Lena Okafor,ACT-1005,lena.okafor.5@example.com,Hooli Ltd,50008,79,Migration,,,,,,,,,,,,,,,,,,,,,,,,,,"Lena Rossi|lena.rossi.117@example.org, Amara Diallo|amara.diallo.103@example.org",AMER
PRJ-0010,Stark Group - Enterprise Rollout,In progress,2026-02-05,2026-08-06,Yusuf Tanaka,ACT-1008,yusuf.tanaka.8@example.com,Stark Group,50009,59,Change Request ,,,,,,,,,,,,,,,,,,,,,,,,,,"Hana Kaya|hana.kaya.105@example.org, Ingrid Sato|ingrid.sato.139@example.org",Europe
PRJ-0011,Northwind Group - Migration,In progress,2026-07-09,2026-10-26,Hana Tanaka,ACT-1009,hana.tanaka.9@example.com,Northwind Group,50010,70,CLM Platform,,,,,,,,,,,,,,,,,,,,,,,,,,"Zara Kaya|zara.kaya.127@example.org, Arjun Sato|arjun.sato.100@example.org",MEA
PRJ-0012,Soylent Group - Enterprise Rollout,In progress,2026-07-18,2027-05-20,Priya Raman,ACT-1000,priya.raman.0@example.com,Soylent Group,50011,5,CLM Platform,,,,,,,,,,,,,,,,,,,,,,,,,,"Priya Sato|priya.sato.128@example.org, Arjun Sato|arjun.sato.100@example.org, Priya Diallo|priya.diallo.112@example.org, Marco Diallo|marco.diallo.106@example.org, Lena Rossi|lena.rossi.117@example.org",Europe
PRJ-0013,Cyberdyne LLC - Phase 1 Implementation,In progress,2026-04-16,2026-07-30,Daniel Raman,ACT-1001,daniel.raman.1@example.com,Cyberdyne LLC,50012,48,Migration,,,,,,,,,,,,,,,,,,,,,,,,,,"Amara Sato|amara.sato.119@example.org, Tomas Sato|tomas.sato.134@example.org, Ingrid Sato|ingrid.sato.107@example.org, Yusuf Rossi|yusuf.rossi.136@example.org",MEA
PRJ-0014,Cyberdyne GmbH - Phase 2 Rollout,In progress,2026-03-15,2026-10-15,Priya Raman,ACT-1000,priya.raman.0@example.com,Cyberdyne GmbH,50013,46,Migration,,,,,,,,,,,,,,,,,,,,,,,,,,"Marco Sato|marco.sato.122@example.org, Marco Sato|marco.sato.122@example.org",AMER
PRJ-0015,Soylent GmbH - Migration,In progress,2026-06-12,2027-03-30,Ingrid Raman,ACT-1011,ingrid.raman.11@example.com,Soylent GmbH,50014,43,Change Request ,,,,,,,,,,,,,,,,,,,,,,,,,,Yusuf Diallo|yusuf.diallo.104@example.org,APAC
PRJ-0016,Wayne Ltd - Migration,In progress,2026-01-23,2026-03-05,Lena Okafor,ACT-1005,lena.okafor.5@example.com,Wayne Ltd,50015,87,Change Request ,,,,,,,,,,,,,,,,,,,,,,,,,,"Daniel Kaya|daniel.kaya.129@example.org, Mei Sato|mei.sato.114@example.org, Lena Kaya|lena.kaya.101@example.org, Hana Kaya|hana.kaya.105@example.org",Europe
PRJ-0017,Aperture Group - Phase 2 Rollout,In progress,2026-02-20,2026-05-14,Yusuf Tanaka,ACT-1008,yusuf.tanaka.8@example.com,Aperture Group,50016,86,Migration,,,,,,,,,,,,,,,,,,,,,,,,,,"Amara Diallo|amara.diallo.103@example.org, Lena Rossi|lena.rossi.117@example.org, Yusuf Diallo|yusuf.diallo.104@example.org",AMER
PRJ-0018,Umbrella GmbH - Phase 1 Implementation,In progress,2026-06-30,2026-12-12,Lena Okafor,ACT-1005,lena.okafor.5@example.com,Umbrella GmbH,50017,63,Migration,,,,,,,,,,,,,,,,,,,,,,,,,,"Yusuf Diallo|yusuf.diallo.104@example.org, Yusuf Rossi|yusuf.rossi.136@example.org",MEA
