ProjectId,TaskId,TaskName,Status,ProjectName,PhaseId,Phase,Assignee,Priority,StartDate,DueDate,HoursTracked,Is this a Billing Milestone?,Invoice Raised?,% of amount to be billed,Dependency,ParentTaskId,ParentTask,AtRisk,Progress,ActualStartDate,CompletedAt,RemainingHours,Effort(hrs),Billable,Category
PRJ-200,TSK-2001,Feed 01,Completed,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Arjun Mehta,,2026-07-01,2026-07-15,0.00,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-200,TSK-2002,Feed 02,Completed,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Lena Fischer,,2026-07-01,2026-07-15,1.50,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-200,TSK-2003,Feed 03,Completed,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Tomas Novak,,2026-07-01,2026-07-15,1.50,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-200,TSK-2004,Feed 04,Completed,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Amara Diallo,,2026-07-01,2026-07-15,1.50,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-200,TSK-2005,Feed 05,Completed,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Yusuf Kaya,,2026-07-01,2026-07-15,0.00,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-200,TSK-2006,Feed 06,Completed,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Hana Sato,,2026-07-01,2026-07-15,1.50,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-200,TSK-2007,Feed 07,Completed,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Arjun Mehta,,2026-07-01,2026-07-15,1.50,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-200,TSK-2008,Feed 08,Completed,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Lena Fischer,,2026-07-01,2026-07-15,1.50,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-200,TSK-2009,Feed 09,Completed,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Tomas Novak,,2026-07-01,2026-07-15,0.00,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-200,TSK-2010,Feed 10,Completed,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Amara Diallo,,2026-07-01,2026-07-15,1.50,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-200,TSK-2011,Feed 11,Completed,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Yusuf Kaya,,2026-07-01,2026-07-15,1.50,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-200,TSK-2012,Feed 12,Completed,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Hana Sato,,2026-07-01,2026-07-15,1.50,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-200,TSK-2013,Feed 13,Completed,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Arjun Mehta,,2026-07-01,2026-07-15,0.00,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-200,TSK-2014,Feed 14,Completed,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Lena Fischer,,2026-07-01,2026-07-15,1.50,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-200,TSK-2015,Feed 15,Completed,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Tomas Novak,,2026-07-01,2026-07-15,1.50,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-200,TSK-2016,Feed 16,Completed,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Amara Diallo,,2026-07-01,2026-07-15,1.50,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-200,TSK-2017,Feed 17,Completed,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Yusuf Kaya,,2026-07-01,2026-07-15,0.00,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-200,TSK-2018,Feed 18,Completed,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Hana Sato,,2026-07-01,2026-07-15,1.50,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-200,TSK-2019,Feed 19,Completed,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Arjun Mehta,,2026-07-01,2026-07-15,1.50,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-200,TSK-2020,Feed 20,Completed,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Lena Fischer,,2026-07-01,2026-07-15,1.50,,,,,,,,,2026-07-01,2026-07-10,0.00,,true,
PRJ-200,TSK-2021,Feed 21,In progress,Widefield Retail - Enterprise Rollout,PHS-W1,Build,Tomas Novak,,2026-07-01,2026-07-15,1.50,,,,,,,,,,,0.00,,true,
